Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,03-March-25,"Cumulative Generation
during Mar 2025"
ACL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,200.00,1.71,4.99
BEETAM(TUTICORIN),Tamil Nadu,Private,IPP,Wind,220.00,0.18,3.23
GREEN INFRA,Tamil Nadu,Private,IPP,Wind,250.00,0.12,3.66
HIRITUR OSTRO,Tamil Nadu,Private,IPP,Wind,300.00,0.00,0.00
JSW RENEW ENERGY TWO LTD,Tamil Nadu,Private,IPP,Wind,130.00,0.21,4.57
KARUR_JSWRETWO_W,Tamil Nadu,Private,IPP,Wind,51.00,0.40,1.99
KOPPAL_AYANASIX_W,Karnataka,Private,IPP,Wind,50.00,0.24,0.64
KOPPAL_RENEWROSHNI_W,Karnataka,Private,IPP,Wind,73.00,0.97,4.62
MYTRA,Tamil Nadu,Private,IPP,Wind,250.00,0.10,2.48
ORANGE,Tamil Nadu,Private,IPP,Wind,200.00,0.08,2.31
PGLR_SREPL,Tamil Nadu,Private,IPP,Wind,300.00,0.38,1.94
TUTICORINJSWRENEWW,Tamil Nadu,Private,IPP,Wind,51.00,0.14,3.35
GRT,Tamil Nadu,Private,IPP,Solar,150.00,0.67,2.02
NTPC ETTAYAPURAM SOLAR PLANT,Tamil Nadu,Central,NTPC,Solar,230.00,1.16,3.35
RAMANGUNDAM SOLAR,Telangana,Central,NTPC,Solar,100.00,0.61,1.89
SIMHADRI SOLAR,Andhra Pradesh,Central,NTPC,Solar,25.00,0.00,0.00
KOPPAL RENEWOJAS Wind,Tamil Nadu,Private,IPP,Wind,277.00,1.21,5.67
KOPPAL SRI1PL,Karnataka,Private,IPP,Solar,120.00,1.31,4.12
IRCON SOLAR,Karnataka,Private,IPP,Solar,50.00,-1.15,-3.61
GADAG_VENA_W,Karnataka,Private,IPP,Wind,133.00,0.37,1.78
GADAG_VENA_S,Karnataka,Private,IPP,Solar,31.00,-0.13,-0.43
KURNOOL_AMGREEN_W,Andhra Pradesh,Private,IPP,Wind,53.00,0.94,2.53
KOPPAL_RENEWOJAS_S,Karnataka,Private,IPP,Solar,81.00,0.55,1.17
GADAG_RSPPL_W,Tamil Nadu,Private,IPP,Wind,66.00,0.45,2.13
GADAG_GREENINFRA_W,Tamil Nadu,Private,IPP,Wind,55.00,0.14,0.75
ADANIAPSEVEN,Andhra Pradesh,Private,IPP,Solar,250.00,1.87,5.56
ACME (BIWADI),Andhra Pradesh,Private,IPP,Solar,50.00,0.36,1.09
ACME (HISAR),Andhra Pradesh,Private,IPP,Solar,50.00,0.03,0.75
ACME (KARNAL),Andhra Pradesh,Private,IPP,Solar,50.00,0.03,0.74
AYANA,Andhra Pradesh,Private,IPP,Solar,250.00,1.91,5.83
AZURE,Andhra Pradesh,Private,IPP,Solar,50.00,0.29,0.86
IGS 1,Andhra Pradesh,Private,IPP,Solar,50.00,0.03,0.74
IGS 2,Andhra Pradesh,Private,IPP,Solar,50.00,0.36,1.08
NTPC,Andhra Pradesh,Central,NTPC,Solar,250.00,1.22,3.70
TATA POWER,Andhra Pradesh,Private,IPP,Solar,100.00,0.05,1.30
SPRING ANGITRA,Andhra Pradesh,Private,IPP,Solar,250.00,1.29,3.15
All ADYAH,Karnataka,Private,IPP,Solar,300.00,2.31,7.13
AMPLUS PAVAGADA,Karnataka,Private,IPP,Solar,50.00,0.39,1.21
AMPLUS TUMKUR,Karnataka,Private,IPP,Solar,50.00,0.39,1.21
AVAADA SOLAR,Karnataka,Private,IPP,Solar,150.00,1.12,3.46
AVAADA SOLARISE,Karnataka,Private,IPP,Solar,150.00,1.10,3.44
AZURE POWER EARTH,Karnataka,Private,IPP,Solar,100.00,0.76,2.35
FORTUM FIN SURYA,Karnataka,Private,IPP,Solar,100.00,0.69,2.16
FORTUM SOLAR,Karnataka,Private,IPP,Solar,250.00,0.35,1.09
KREDL,Karnataka,Private,IPP,Solar,50.00,0.77,2.37
PARAMPUJYA,Karnataka,Private,IPP,Solar,150.00,0.39,1.21
RENEW TN2,Karnataka,Private,IPP,Solar,50.00,1.48,4.58
SBG ENERGY,Karnataka,Private,IPP,Solar,200.00,1.87,5.79
TATA RENEWABLES,Karnataka,Private,IPP,Solar,400.00,2.67,8.35
YARROW,Karnataka,Private,IPP,Solar,50.00,0.38,1.18
